date,stock_code,stock_name,industry,open,close,high,low,volume
2025-01-01,AAPL,Apple,Technology,53.96,55.39,56.77,53.83,8402145
2025-01-02,AAPL,Apple,Technology,55.39,54.15,57.03,53.2,1837403
2025-01-03,AAPL,Apple,Technology,54.15,53.62,55.64,52.83,8901890
2025-01-06,AAPL,Apple,Technology,53.62,53.09,54.5,52.21,9631917
2025-01-07,AAPL,Apple,Technology,53.09,53.02,53.52,52.75,6528909
2025-01-08,AAPL,Apple,Technology,53.02,51.3,53.63,50.68,3336829
2025-01-09,AAPL,Apple,Technology,51.3,52.11,52.84,50.52,5562229
2025-01-10,AAPL,Apple,Technology,52.11,52.06,53.19,51.19,3198009
2025-01-13,AAPL,Apple,Technology,52.06,51.77,52.4,50.4,2901579
2025-01-14,AAPL,Apple,Technology,51.77,51.75,52.17,50.79,9085899
2025-01-15,AAPL,Apple,Technology,51.75,51.87,52.95,50.59,5140628
2025-01-16,AAPL,Apple,Technology,51.87,50.9,52.93,50.86,8888587
2025-01-17,AAPL,Apple,Technology,50.9,49.74,51.38,48.75,7714309
2025-01-20,AAPL,Apple,Technology,49.74,50.32,51.29,49.51,3957702
2025-01-21,AAPL,Apple,Technology,50.32,52.17,52.46,49.15,6400852
2025-01-22,AAPL,Apple,Technology,52.17,51.32,53.36,51.08,4543370
2025-01-23,AAPL,Apple,Technology,51.32,50.7,52.27,49.22,5417902
2025-01-24,AAPL,Apple,Technology,50.7,52.01,53.14,50.59,1640376
2025-01-27,AAPL,Apple,Technology,52.01,50.45,53.06,49.73,2240367
2025-01-28,AAPL,Apple,Technology,50.45,52.78,53.81,49.17,3104318
2025-01-29,AAPL,Apple,Technology,52.78,51.46,53.38,51.13,6247730
2025-01-30,AAPL,Apple,Technology,51.46,51.62,51.77,50.58,8165578
2025-01-31,AAPL,Apple,Technology,51.62,51.64,52.66,50.49,6869987
2025-02-03,AAPL,Apple,Technology,51.64,51.97,53.44,50.18,5302989
2025-02-04,AAPL,Apple,Technology,51.97,51.38,52.8,50.42,6706109
2025-02-05,AAPL,Apple,Technology,51.38,51.02,52.01,49.5,9576191
2025-02-06,AAPL,Apple,Technology,51.02,50.02,51.26,49.8,5905286
2025-02-07,AAPL,Apple,Technology,50.02,48.3,50.75,47.48,1317124
2025-02-10,AAPL,Apple,Technology,48.3,46.92,48.89,46.84,3545548
2025-02-11,AAPL,Apple,Technology,46.92,47.25,48.41,46.4,7904172
2025-02-12,AAPL,Apple,Technology,47.25,45.51,48.03,44.19,5593080
2025-02-13,AAPL,Apple,Technology,45.51,46.79,48.17,45.2,8514238
2025-02-14,AAPL,Apple,Technology,46.79,46.62,47.45,45.87,5135650
2025-02-17,AAPL,Apple,Technology,46.62,46.57,47.97,45.29,4109731
2025-02-18,AAPL,Apple,Technology,46.57,45.01,47.77,43.85,4358087
2025-02-19,AAPL,Apple,Technology,45.01,45.27,45.57,44.13,9340485
2025-02-20,AAPL,Apple,Technology,45.27,44.7,45.57,44.41,2589684
2025-02-21,AAPL,Apple,Technology,44.7,44.8,46.07,44.17,9923712
2025-02-24,AAPL,Apple,Technology,44.8,44.83,45.75,44.09,5358856
2025-02-25,AAPL,Apple,Technology,44.83,44.36,46.17,44.31,6350032
2025-02-26,AAPL,Apple,Technology,44.36,43.9,44.64,43.05,8820817
2025-02-27,AAPL,Apple,Technology,43.9,45.48,45.64,42.62,4815065
2025-02-28,AAPL,Apple,Technology,45.48,45.81,46.44,44.34,4806203
2025-03-03,AAPL,Apple,Technology,45.81,44.65,46.2,43.72,1200836
2025-03-04,AAPL,Apple,Technology,44.65,44.52,44.79,44.11,1653456
2025-03-05,AAPL,Apple,Technology,44.52,45.4,46.02,43.57,2147318
2025-03-06,AAPL,Apple,Technology,45.4,45.36,46.75,44.99,3097840
2025-03-07,AAPL,Apple,Technology,45.36,46.18,47.33,44.8,5969064
2025-03-10,AAPL,Apple,Technology,46.18,47.98,49.06,45.78,2093620
2025-03-11,AAPL,Apple,Technology,47.98,48.81,50.08,47.4,9749605
