product_id,product_name,risk_level,annual_return,category
P001,Financial Product 1,Low,0.093,Fund
P002,Financial Product 2,Low,0.1016,Stock
P003,Financial Product 3,Medium,0.0882,Bond
P004,Financial Product 4,Medium,0.0523,Bond
P005,Financial Product 5,Medium,0.116,Fund
P006,Financial Product 6,High,0.0825,Stock
P007,Financial Product 7,High,0.0327,Bond
P008,Financial Product 8,Low,0.0705,Bond
P009,Financial Product 9,Low,0.1173,Bond
P010,Financial Product 10,Low,0.0697,Fund
P011,Financial Product 11,High,0.047,Bond
P012,Financial Product 12,High,0.0811,Bond
P013,Financial Product 13,Medium,0.0613,Bond
P014,Financial Product 14,Low,0.0746,Fund
P015,Financial Product 15,High,0.075,Fund
P016,Financial Product 16,High,0.0754,Stock
P017,Financial Product 17,Low,0.0423,Stock
P018,Financial Product 18,High,0.083,Bond
P019,Financial Product 19,High,0.091,Bond
P020,Financial Product 20,Low,0.0307,Bond
P021,Financial Product 21,Medium,0.1144,Fund
P022,Financial Product 22,Low,0.0315,Fund
P023,Financial Product 23,Medium,0.0307,Stock
P024,Financial Product 24,High,0.0938,Stock
P025,Financial Product 25,High,0.0371,Stock
P026,Financial Product 26,High,0.0946,Bond
P027,Financial Product 27,Low,0.0279,Fund
P028,Financial Product 28,Medium,0.1087,Fund
P029,Financial Product 29,Medium,0.0636,Fund
P030,Financial Product 30,High,0.0635,Stock
P031,Financial Product 31,Low,0.0241,Bond
P032,Financial Product 32,Low,0.0423,Bond
P033,Financial Product 33,High,0.0476,Bond
P034,Financial Product 34,High,0.0488,Fund
P035,Financial Product 35,Medium,0.1038,Bond
P036,Financial Product 36,High,0.0696,Fund
P037,Financial Product 37,Medium,0.0523,Bond
P038,Financial Product 38,High,0.0716,Fund
P039,Financial Product 39,Low,0.0958,Bond
P040,Financial Product 40,Low,0.0342,Fund
P041,Financial Product 41,High,0.0993,Stock
P042,Financial Product 42,Medium,0.0744,Stock
P043,Financial Product 43,Medium,0.0222,Fund
P044,Financial Product 44,High,0.0546,Bond
P045,Financial Product 45,Low,0.0932,Fund
P046,Financial Product 46,Medium,0.1103,Stock
P047,Financial Product 47,Low,0.0451,Bond
P048,Financial Product 48,High,0.0858,Stock
P049,Financial Product 49,High,0.0933,Bond
P050,Financial Product 50,Medium,0.0937,Bond
