transaction_id,user_id,product_id,amount,transaction_type,date
1,1275,AAPL,5302.64,SELL,2025-12-30
2,1355,AAPL,30020.79,BUY,2025-09-08
3,1599,SPY,69579.79,SELL,2025-07-06
4,1714,SPY,88724.1,SELL,2025-03-30
5,1701,NVDA,66692.44,SELL,2025-11-19
6,1551,MSFT,86494.88,SELL,2025-02-10
7,1371,NVDA,69823.01,BUY,2025-05-16
8,1831,AAPL,38304.75,SELL,2025-08-30
9,1207,TSLA,71269.67,SELL,2025-12-22
10,1902,AAPL,95119.35,BUY,2025-03-08
11,1634,TSLA,49786.37,BUY,2025-09-18
12,1893,TSLA,37291.75,SELL,2025-08-29
13,1251,TSLA,6629.37,SELL,2025-12-24
14,1535,QQQ,35809.82,SELL,2025-08-19
15,1215,NVDA,67422.74,BUY,2025-09-29
16,1217,AAPL,64027.81,SELL,2025-04-07
17,1261,TSLA,96640.82,BUY,2025-03-13
18,1057,QQQ,24195.52,SELL,2025-09-28
19,1955,TSLA,93769.88,SELL,2025-10-07
20,1618,QQQ,56290.64,SELL,2025-12-14
21,1812,MSFT,58377.03,BUY,2025-06-19
22,1332,QQQ,82835.63,SELL,2025-05-30
23,1622,TSLA,58716.89,SELL,2025-07-18
24,1406,AAPL,33996.54,SELL,2025-04-25
25,1485,MSFT,43040.6,SELL,2025-12-23
26,1370,NVDA,67233.8,BUY,2025-07-05
27,1233,QQQ,3373.01,BUY,2025-09-21
28,1672,SPY,99486.21,SELL,2025-12-01
29,1762,AAPL,10211.67,SELL,2025-06-11
30,1147,QQQ,14703.02,SELL,2025-08-27
31,1594,AAPL,72875.69,BUY,2025-10-26
32,1061,NVDA,97893.73,BUY,2025-12-11
33,1584,TSLA,62177.94,BUY,2025-03-01
34,1955,NVDA,19548.03,BUY,2025-05-28
35,1677,AAPL,59518.99,SELL,2025-06-27
36,1371,AAPL,53202.68,SELL,2025-06-17
37,1922,AAPL,89088.68,SELL,2025-07-03
38,1673,MSFT,83873.63,SELL,2025-11-02
39,1744,AAPL,69704.42,SELL,2025-04-08
40,1904,QQQ,9956.41,SELL,2025-03-06
41,1465,SPY,52111.62,SELL,2025-11-15
42,1837,NVDA,67868.67,SELL,2025-02-02
43,1883,MSFT,60479.75,SELL,2025-04-06
44,1951,SPY,38178.41,BUY,2025-11-27
45,1317,QQQ,79162.51,SELL,2025-01-02
46,1330,NVDA,17900.3,SELL,2025-08-08
47,1860,NVDA,38700.95,BUY,2025-07-31
48,1094,QQQ,50770.63,BUY,2025-04-05
49,1978,AAPL,3024.11,BUY,2025-11-08
50,1019,AAPL,89720.74,SELL,2025-12-21
51,1654,AAPL,42374.3,BUY,2025-03-26
52,1780,TSLA,79996.53,SELL,2025-05-07
53,1058,AAPL,12395.16,BUY,2025-09-27
54,1565,QQQ,51570.7,BUY,2025-07-30
55,1564,SPY,74045.68,BUY,2025-12-17
56,1666,AAPL,38115.74,BUY,2025-03-13
57,1571,NVDA,44185.35,SELL,2025-05-02
58,1354,QQQ,6004.24,BUY,2025-01-07
59,1950,SPY,18241.86,SELL,2025-08-27
60,1884,QQQ,40741.12,BUY,2025-01-14
61,1470,AAPL,22282.21,BUY,2025-03-26
62,1994,NVDA,28740.88,BUY,2025-09-16
63,1661,QQQ,89445.4,SELL,2025-05-22
64,1902,TSLA,85854.03,BUY,2025-01-05
65,1267,QQQ,24691.92,BUY,2025-10-22
66,1774,TSLA,89862.86,BUY,2025-12-29
67,1136,AAPL,10482.55,BUY,2025-12-29
68,1284,AAPL,88674.1,SELL,2025-06-02
69,1217,SPY,32175.12,BUY,2025-06-19
70,1899,QQQ,89068.65,BUY,2025-03-28
71,1615,MSFT,67727.26,BUY,2025-06-17
72,1382,TSLA,99799.11,SELL,2025-07-04
73,1807,TSLA,54966.59,SELL,2025-10-14
74,1183,MSFT,72517.33,BUY,2025-03-07
75,1783,NVDA,18733.71,SELL,2025-02-21
76,1418,MSFT,75235.67,SELL,2025-01-13
77,1515,SPY,11278.7,BUY,2025-09-10
78,1713,SPY,93765.53,BUY,2025-11-26
79,1234,TSLA,37522.85,SELL,2025-06-15
80,1450,QQQ,25187.45,SELL,2025-03-20
81,1860,MSFT,78197.1,SELL,2025-04-11
82,1008,NVDA,58794.36,SELL,2025-06-26
83,1155,SPY,8338.46,SELL,2025-10-23
84,1372,SPY,52364.96,BUY,2025-09-02
85,1050,AAPL,13988.96,SELL,2025-06-12
86,1386,QQQ,21574.61,SELL,2025-01-04
87,1793,SPY,19530.56,SELL,2025-11-28
88,1278,NVDA,29640.25,BUY,2025-01-31
89,1183,TSLA,75001.92,BUY,2025-03-21
90,1563,AAPL,8000.55,SELL,2025-04-07
91,1081,NVDA,5791.46,BUY,2025-07-27
92,1496,MSFT,31592.27,BUY,2025-08-03
93,1808,NVDA,52965.19,SELL,2025-09-04
94,1943,QQQ,73132.91,SELL,2025-02-14
95,1687,TSLA,57920.55,SELL,2025-10-11
96,1609,TSLA,22268.63,BUY,2025-07-19
97,1563,NVDA,48280.69,BUY,2025-07-30
98,1323,SPY,51113.08,BUY,2025-06-29
99,1720,MSFT,89355.39,BUY,2025-05-02
100,1678,MSFT,7938.24,BUY,2025-08-26
101,1368,NVDA,6601.32,BUY,2025-03-08
102,1761,TSLA,3488.2,SELL,2025-03-01
103,1060,TSLA,63503.45,BUY,2025-08-10
104,1397,QQQ,77920.68,SELL,2025-05-30
105,1008,MSFT,28690.24,BUY,2025-07-18
106,1162,TSLA,11849.11,BUY,2025-07-09
107,1520,AAPL,62031.05,SELL,2025-05-12
108,1074,NVDA,19205.17,BUY,2025-10-12
109,1364,MSFT,31758.24,BUY,2025-05-27
110,1154,TSLA,93153.85,BUY,2025-06-21
111,1451,SPY,10395.89,BUY,2025-03-31
112,1596,MSFT,72886.58,SELL,2025-08-26
113,1056,QQQ,94909.05,SELL,2025-12-04
114,1724,NVDA,36783.04,SELL,2025-10-11
115,1984,AAPL,20618.06,BUY,2025-03-22
116,1827,AAPL,89003.42,SELL,2025-01-08
117,1289,SPY,94242.51,BUY,2025-03-09
118,1720,QQQ,41816.34,SELL,2025-02-05
119,1658,TSLA,13365.94,BUY,2025-10-04
120,1892,AAPL,95495.81,BUY,2025-04-28
121,1114,MSFT,24009.28,BUY,2025-03-01
122,1574,NVDA,62258.81,SELL,2025-02-09
123,1989,QQQ,64052.03,BUY,2025-03-29
124,1469,QQQ,98260.81,BUY,2025-05-29
125,1816,QQQ,42547.56,BUY,2025-01-31
126,1538,MSFT,62317.94,BUY,2025-10-02
127,1041,QQQ,59510.74,BUY,2025-05-14
128,1885,NVDA,95236.6,BUY,2025-11-30
